QuestionID,Question,Answer,Action
Q1,Hi,,greet
Q2,Hello,,greet
Q3,Hiya,,greet
Q4,What is my name?,,say_name
Q5,Do you remember who I am?,,say_name
Q6,Can you remember my name?,,say_name
Q7,What can you do?,"Currently, I can greet users and remember their names. And answer this question. Duh.",0
Q8,What are you capable of?,"Currently, I can greet users and remember their names. And answer this question. Duh.",0
Q9,What can you do for me?,"Currently, I can greet users and remember their names. And answer this question. Duh.",0
Q10,How are you?,I'm doing pretty well! Although I am a bot. Such is life.,0